Dummy,Locality,Assemblage name,GeoLayer,ArchLayer,Laboratory,Analysis number,Age,Pos. standard deviation,Neg. standard deviation,Dating method,Material dated,Date of analysis,Comments
,Sima de las Palomas,Unknown Layer Micromammal Fauna,Layer C (Conglomerate A),-,-,-,-,-,-,-,-,-,-
,Sipka,Sipka layer 9 human remains,layer 9,-,-,-,-,-,-,-,-,-,-
,Sipka,Sipka Fauna I,layer 11,-,-,-,-,-,-,-,-,-,-
,Sipka,Sipka Fauna II,layer 10,-,-,-,-,-,-,-,-,-,-
,Sipka,Sipka Fauna III,layer 9,-,-,-,-,-,-,-,-,-,-
,Sipka,Sipka Fauna IV,layer 6,Sipka MP layer,-,-,-,-,-,-,-,-,-
,Sipka,Sipka Fauna V,layer 2,-,-,-,-,-,-,-,-,-,-
,Sipka,Sipka Fauna V,layer 3,-,-,-,-,-,-,-,-,-,-
,Sirgenstein,Sirgenstein AH VIII/VII Macro-Mammal Fauna,Layer c,AH VII,-,-,-,-,-,-,-,-,-
,,,,AH VIII,,,,,,,,,
,Skhul,Level C Macromammal Fauna,Level C,Level C,-,-,-,-,-,-,-,-,-
,Song Gupuh,"Song Gupuh, Unit 7, Fauna",Layer 7 (I2),-,-,-,-,-,-,-,-,-,-
,Song Gupuh,"Song Gupuh, Unit 9, Fauna",Layer 9 (I2),-,-,-,-,-,-,-,-,-,-
,Song Gupuh,"Song Gupuh, Unit 18, Fauna",Layer 18 (I2),-,-,-,-,-,-,-,-,-,-
,Song Gupuh,"Song Gupuh, Unit 7, micromammals",Layer 7 (I2),-,-,-,-,-,-,-,-,-,-
,Song Gupuh,"Song Gupuh, Unit 9, micromammals",Layer 9 (I2),-,-,-,-,-,-,-,-,-,-
,Song Gupuh,"Song Gupuh, Unit 18, micromammals",Layer 18 (I2),-,-,-,-,-,-,-,-,-,-
,Song Terus,"Song Terus, Keplek Fauna",Keplek Layers,-,-,-,-,-,-,-,-,-,-
,Spinagallo,Spinagallo Fauna,Fossiliferous Layer,-,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 1,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 2,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 3,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 4,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 5,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 6,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 7,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 8,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 9,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 10,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 11,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 12,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 13,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 14,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 15,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 16,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 17,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 18,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 19,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 20,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 21,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 22,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 23,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 24,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 25,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 26,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 27,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 28,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 29,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 30,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 31,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 32,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 33,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 34,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 35,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 36,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 37,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 38,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 39,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 40,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 41,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 43,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 44,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Human Remains 45,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 1st Ossiferous Horizon Faunal Remains,1st Ossiferous Horizon,1st Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 2nd Ossiferous Horizon Faunal Remains,2nd Ossiferous Horizon,2nd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,Spy,Spy 3rd Ossiferous Horizon Faunal Remains,3rd Ossiferous Horizon,3rd Ossiferous Horizon,-,-,-,-,-,-,-,-,-
,St Côme de Fresné,L5 Fauna,L5,-,-,-,-,-,-,-,-,-,-
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer A,Stajnia Cave UP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave MP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer B6,Stajnia Cave UP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave MP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer B7,Stajnia Cave UP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave MP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer C18,Stajnia Cave UP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave MP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer C19,Stajnia Cave MP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave UP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer C6,Stajnia Cave UP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave MP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer C7,Stajnia Cave MP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave UP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer D1,Stajnia Cave MP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave UP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer D2,Stajnia Cave UP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave MP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer D3,Stajnia Cave MP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave UP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer E1,Stajnia Cave UP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave MP layer,,,,,,,,,
,Stajnia Cave,Stajnia Cave MP assemblage,Stajnia Cave layer E2,Stajnia Cave MP layer,-,-,-,-,-,-,-,-,-
,,,,Stajnia Cave UP layer,,,,,,,,,
,Starosele,Starosele 1952-1956 Excavation Macromammal Fauna,Layer A,Gap 1,-,-,-,-,-,-,-,-,-
,Starosele,Starosele 1952-1956 Excavation Macromammal Fauna,Layer B,Cultural layer I,-,-,-,-,-,-,-,-,-
,Starosele,Starosele 1952-1956 Excavation Macromammal Fauna,Layer C,Cultural layer II,-,-,-,-,-,-,-,-,-
,Starosele,Starosele 1952-1956 Excavation Macromammal Fauna,Layer D,Cultural layer III,-,-,-,-,-,-,-,-,-
,Starosele,Starosele 1952-1956 Excavation Macromammal Fauna,Layer E,Gap 2,-,-,-,-,-,-,-,-,-
,Starosele,Starosele 1952-1956 Excavation Macromammal Fauna,Layer F,Cultural layer IV,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 1 Macromammal Fauna,Layer B,Cultural layer I,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 2 Macromammal Fauna,Layer C,Cultural layer II,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 3 Macromammal Fauna,Layer D,Cultural layer III,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 3 Macromammal Fauna,Layer E,Gap 2,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 4 Macromammal Fauna,Layer F,Cultural layer IV,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 1 Micromammal Fauna,Layer B,Cultural layer I,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 2 Micromammal Fauna,Layer C,Cultural layer II,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 3 Micromammal Fauna,Layer D,Cultural layer III,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 3 Micromammal Fauna,Layer E,Gap 2,-,-,-,-,-,-,-,-,-
,Starosele,Starosele Cultural Level 4 Micromammal Fauna,Layer F,Cultural layer IV,-,-,-,-,-,-,-,-,-
,Starosele,Starosele archaeologically sterile Level Micromammal Fauna,Layer E,Gap 2,-,-,-,-,-,-,-,-,-
,Steinheim,"Steinheim, primigenius schotter, fauna",Primigenius-Schotter,-,-,-,-,-,-,-,-,-,-
,Steinmühle bei Veltheim,Travertine fauna,Travertine,Travertine,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3a fauna,Layer 3ia I,Layer 3ia I,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3a fauna,Layer 3ia II,Layer 3ia II,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3b fauna,Layer 3ib,Layer 3ib,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 1 small mammal fauna,Layer 1,Layer 1,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 2 small mammal fauna,Layer 2,Layer 2,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3ia I small mammal fauna,Layer 3ia I,Layer 3ia I,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3ia II small mammal fauna,Layer 3ia II,Layer 3ia II,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3ib small mammal fauna,Layer 3ib,Layer 3ib,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3 3 small mammal fauna,Layer 3 3 I,Layer 3 3 I,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 3 3 small mammal fauna,Layer 3 3 II,Layer 3 3 II,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 4 I small mammal fauna,Layer 4 I,Layer 4 I,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 4 II small mammal fauna,Layer 4 II,Layer 4 II,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 5 I small mammal fauna,Layer 5 I,Layer 5 I,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 5 II small mammal fauna,Layer 5 II,Layer 5 II,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 5 III small mammal fauna,Layer 5 III,-,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 6 I small mammal fauna,Layer 6,Layer 6 III,-,-,-,-,-,-,-,-,-
,,,,Layer 6 V,,,,,,,,,
,,,,Layer 6 IV,,,,,,,,,
,,,,Layer 6 I,,,,,,,,,
,,,,Layer 6 II,,,,,,,,,
,Strashnaya,Strashnaya layer 6 II small mammal fauna,Layer 6,Layer 6 III,-,-,-,-,-,-,-,-,-
,,,,Layer 6 V,,,,,,,,,
,,,,Layer 6 IV,,,,,,,,,
,,,,Layer 6 I,,,,,,,,,
,,,,Layer 6 II,,,,,,,,,
,Strashnaya,Strashnaya layer 6 III small mammal fauna,Layer 6,Layer 6 III,-,-,-,-,-,-,-,-,-
,,,,Layer 6 V,,,,,,,,,
,,,,Layer 6 IV,,,,,,,,,
,,,,Layer 6 I,,,,,,,,,
,,,,Layer 6 II,,,,,,,,,
,Strashnaya,Strashnaya layer 6 IV small mammal fauna,Layer 6,Layer 6 III,-,-,-,-,-,-,-,-,-
,,,,Layer 6 V,,,,,,,,,
,,,,Layer 6 IV,,,,,,,,,
,,,,Layer 6 I,,,,,,,,,
,,,,Layer 6 II,,,,,,,,,
,Strashnaya,Strashnaya layer 6 V small mammal fauna,Layer 6,Layer 6 III,-,-,-,-,-,-,-,-,-
,,,,Layer 6 V,,,,,,,,,
,,,,Layer 6 IV,,,,,,,,,
,,,,Layer 6 I,,,,,,,,,
,,,,Layer 6 II,,,,,,,,,
,Strashnaya,Strashnaya layer 7 I small mammal fauna,Layer 7,Layer 7 II,-,-,-,-,-,-,-,-,-
,,,,Layer 7 I,,,,,,,,,
,,,,Layer 7 III,,,,,,,,,
,Strashnaya,Strashnaya layer 7 II small mammal fauna,Layer 7,Layer 7 II,-,-,-,-,-,-,-,-,-
,,,,Layer 7 I,,,,,,,,,
,,,,Layer 7 III,,,,,,,,,
,Strashnaya,Strashnaya layer 7 III small mammal fauna,Layer 7,Layer 7 II,-,-,-,-,-,-,-,-,-
,,,,Layer 7 I,,,,,,,,,
,,,,Layer 7 III,,,,,,,,,
,Strashnaya,Strashnaya layer 8 small mammal fauna,Layer 8,-,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 9 small mammal fauna,Layer 9,-,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 10 I small mammal fauna,Layer 10 II,Layer 10 II,-,-,-,-,-,-,-,-,-
,Strashnaya,Strashnaya layer 10 II small mammal fauna,Layer 10 II,Layer 10 II,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Biedermann Cave Fauna,Upper Travertine,Upper Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump S1 Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump S3 Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump S2 Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump S4 Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump S5 Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump Channel 1 Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump Channel 2-8 Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Calcified Tree Stump Channel I - IV Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Layer Beneath Steppennagerschicht Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Lower Travertine Main Cultural Layer Fauna,Lower Travertine,Lower Travertine,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Steppennagerschicht Hyena Foodyard Fauna,Steppennagerschicht,Steppennagerschicht,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Steppennagerschicht Small Assemblages Fauna,Steppennagerschicht,Steppennagerschicht,-,-,-,-,-,-,-,-,-
,Stuttgart-Untertürkheim,Upper Travertine Fauna,Upper Travertine,Upper Travertine,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 1+2 Macro-Mammal Fauna,Layer 1,AH Layer 1,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 1+2 Macro-Mammal Fauna,Layer 2,-,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 3 Macro-Mammal Fauna,Layer 3,AH Layer 3,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 1-3 Macro-Mammal Fauna,Layer 1,AH Layer 1,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 1-3 Macro-Mammal Fauna,Layer 2,-,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 1-3 Macro-Mammal Fauna,Layer 3,AH Layer 3,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 5 Macro-Mammal Fauna,Layer 5,AH Layer 5,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 7 Macro-Mammal Fauna,Layer 7,AH Layer 7,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 8 Macro-Mammal Fauna,Layer 8,AH Layer 8,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 9 Macro-Mammal Fauna,Layer 9,AH Layer 9,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 10 + 12 Macro-Mammal Fauna,Layer 10,AH Layer 10,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 10 + 12 Macro-Mammal Fauna,Layer 12,AH Layer 12,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 11 + 14 Macro-Mammal Fauna,Layer 11,AH Layer 11,-,-,-,-,-,-,-,-,-
,Subalyuk,Layer 11 + 14 Macro-Mammal Fauna,Layer 14,AH Layer 14,-,-,-,-,-,-,-,-,-
,Subalyuk,Subalyuk 1,Layer 11,AH Layer 11,-,-,-,-,-,-,-,-,-
,Subalyuk,Subalyuk 2,Layer 11,AH Layer 11,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv stul IV. complex human remains,layer 2,Sveduv Stul Mousterian 1 Layer,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv stul IV. complex human remains,layer 3,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv stul IV. complex human remains,layer 4,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv stul IV. complex human remains,layer 5,Sveduv Stul Mousterian 2 Layer,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv stul IV. complex human remains,layer 6,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv stul unit 3 human remains 1,unit 3,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 10-7 Fauna,layer 10,Sveduv Stul Magdalenian Layer,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 10-7 Fauna,layer 7,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 10-7 Fauna,layer 8,Sveduv Stul Aurignacian Layer,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 10-7 Fauna,layer 9,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 6-2 Fauna,layer 2,Sveduv Stul Mousterian 1 Layer,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 6-2 Fauna,layer 3,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 6-2 Fauna,layer 4,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 6-2 Fauna,layer 5,Sveduv Stul Mousterian 2 Layer,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 6-2 Fauna,layer 6,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Unit 2 Fauna,unit 2,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Unit 3 Fauna,unit 3,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Unit 4 Fauna,unit 4,-,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 8 Fauna,layer 8,Sveduv Stul Aurignacian Layer,-,-,-,-,-,-,-,-,-
,Sveduv Stul,Sveduv Stul Layer 9 Fauna,layer 9,-,-,-,-,-,-,-,-,-,-
,Swamp Cave,"Swamp Cave, Fauna",Breccia,-,-,-,-,-,-,-,-,-,-
,Szeleta Cave,Szeleta Cave Layer 2 Macromammal Fauna,Layer 2,MP layer,-,-,-,-,-,-,-,-,-
,Szeleta Cave,Szeleta Cave Layer 3 Macromammal Fauna,Layer 3,Early Szeletian layer 3,-,-,-,-,-,-,-,-,-
,Szeleta Cave,Szeleta Cave Layer 4 Macromammal Fauna,Layer 4,Early Szeletian layer 4,-,-,-,-,-,-,-,-,-
,Szeleta Cave,Szeleta Cave Layer 5 Macromammal Fauna,Layer 5,Developed Szeletian layer 5,-,-,-,-,-,-,-,-,-
,Szeleta Cave,"Szeleta Cave Layer 6, 6a and 6b Macromammal Fauna",Layer 6,Developed Szeletian layer 6,-,-,-,-,-,-,-,-,-
,Szeleta Cave,"Szeleta Cave Layer 6, 6a and 6b Macromammal Fauna",Layer 6a/6b,-,-,-,-,-,-,-,-,-,-
,Tabun Cave,Tabun B Fauna,Layer B,Layer B,-,-,-,-,-,-,-,-,-
,Tabun Cave,Tabun C Fauna,Layer C,Layer C,-,-,-,-,-,-,-,-,-
,Tabun Cave,Tabun D Fauna,Layer D,Layer D,-,-,-,-,-,-,-,-,-
,Tabun Cave,Tabun C micromammals,Layer C,Layer C,-,-,-,-,-,-,-,-,-
,Tabun Cave,"Tabun, human remains 01",Layer B,Layer B,-,-,-,-,-,-,-,-,-
,Tabun Cave,"Tabun, human remains 03",Layer B,Layer B,-,-,-,-,-,-,-,-,-
,Talepu,Talepu Unit A7 exc T2 Macromammal Fauna,Unit A7,-,-,-,-,-,-,-,-,-,-
,Tam Hay Marklot Cave,"THM, Fauna",Layer Sc,-,-,-,-,-,-,-,-,-,-
,Tam Hay Marklot Cave,"THM, micromammals",Layer Sc,-,-,-,-,-,-,-,-,-,-
,Tam Ngu Hao,"TNH, LU2, Fauna",LU2,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 1,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 10,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 11,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 12,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 13,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 14,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 15,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 16,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 17,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 18,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 19,-,-,-,-,-,-,-,-,-,-
,Tam Pa Ling,Tam Pa Ling layer 1 - 19 rodent fauna,Layer 2,-,-,-,-,-,-,-,-,-,-
